501,"Lead Technical Architect required for a Tier **** Investment Bank with excellent C skills. The main function of the role is to be the architectural lead, in particular designing solution architecture that will support the strategic vision. Draft the roadmap for the next phase of the Balance Sheet Management project and work with the business and IT to then deliver this Work with the business and IT to design and implement the new solution to calculate the internal charge of borrowing funds within the Group Design a sophisticated liquidity reporting solution to deliver Basel III, stress testing etc. The role will focus on the following: Work closely with the users, systems designers and the developers to design and build the required technical solution using a variety of technologies, including vendor products and inhouse built solutions Technical design and overseer of the solution implementation for enhanced ALM Liquidity reporting. Design and provide development oversight to all technical components that will exist within Treasury IT. Design and provide technical leadership on the data acquisition, ETL and storage for all common reporting requirements Ensure individual solution designs fit within the overall strategy for Treasury and all associated pillars within the program Requirements: Degree educated Seasoned (57 years minimum) technical architecture experience. Must demonstrate having lead technical design and/or architecture for a significant multiyear business transformational program. Working on the design and build of a new/complex architecture with large volumes of data Strong OO development background Wide experience in design and build of technical solutions across a variety of different technologies Experience working on projects that are rich in business and data complexity. Technically articulate and able to communicate clearly to technical and Treasury staff in a clear fashion Ability to produce design patterns and technical framework documentation to set standards and patterns for the development team. C/Java experience Strong knowledge of investment banking functions, minimum 5 years in banking sector. Strong working knowledge and experience in working in front to back projects; sound understanding of middle and Back Office functions Scope AT acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the T C s, Privacy Policy and Disclaimers which can be found on our website.",10
502,"THIS IS A LIVE VACANCY NOT A GENERIC ADVERTISEMENT ) DO YOU WANT TO EARN UP TO ****K BASIC SALARY WITH UNCAPPED OTE, FOR A NATIONAL RECRUITER WHO ARE EXPANDING, RECRUITING AND CAN OFFER YOU JOB SECURITY ? ARE YOU AN EXPERIENCED RECRUITMENT CONSULTANT, SALES OR BUSINESS DEVELOPMENT EXECUTIVE? WHO WANTS INNOVATIVE TRAINING, GENUINE CAREER PROSPECTS WHERE ****5% OF THE MANAGEMENT TEAM ARE HOME GROWN, DYNAMIC WORKING ENVIRONMENT  BASED IN LEEDS(ONE OF THE TOP PERFORMING LOCATIONS IN THE UK) AND EXCELLENT EARNING POTENTIAL  UP TO 30% COMMISSION FOR ACHIEVERS Job details: Generating business for one of my clients **** specialist divisions across **** branches in the UK. Access to all the leading websites for candidate and job opportunities, over ****k annual investment why make the job harder? Full and comprehensive Administration and IT back up for every Consultant Working established bespoke database to generate opportunities with both existing and new clients. Inter division cross fertilisation, working closely with 8 professional divisions providing clients with the complete recruitment solution Corporate and HO support for national business/tenders and PSL s. Managing own desk to achieve daily, weekly and monthly targets. Person: Energy and desire to succeed, with a competitive streak that wants to beat the competition. Professional personal appearance with the ability to build sustainable business relationships. Positive mental attitude. Able to demonstrate working to and exceeding targets. Career focussed, good listening skills and a natural confidence. Naturally positive and looking for the opportunity to work for a national player who are committed to your success Recruitment experience or 2 years business to business sales experience required. Benefits: ****k  ****K basic  benefits Pension scheme. Uncapped OTE Innovative award winning training academy. Genuine career opportunities. Incentives, awards and excellent team building UK wide. IF YOU FEEL YOU HAVE THE ENERGY AND DRIVE TO SUCCEED IN A FAST PACED, DYNAMIC SALES ENVIRONMENT WITH REWARDS THEN CALL OR EMAIL FRO AN INFORMAL AND DISCREET DISCUSSION. PLEASE NOTE YOUR CV WILL NOT BE FORWARDED TO MY CLIENT WITHOUT YOUR WRITTEN AUTHORISATION. Code Blue Recruitment handle nearly **** LIVE VACANCIES, for all sectors and levels of the Recruitment industry across the whole of the UK . Positions include Junior and Trainee Consultants, Recruitment and Senior Recruitment Consultants, Team Leaders, Account Managers, Branch Managers, Sales Managers & Directors. Sectors covered include Professional Recruitment such as Finance, Accountancy & Banking, Legal & HR, Commercial markets such as Office Support, Industrial, Driving, Hospitality & Catering, the Public Sector including Medical, Care, Education, Technical markets such as I.T., Telecoms, Media, Construction, Engineering, Energy & Environment, and Pharmaceutical, as well as diverse areas such as Sales Recruitment, Search, and Supply Chain",12
503,"Mechanical / Chemical / Process Engineer  Cooling and Refrigeration Systems Fleet in Hampshire Salary **** to **** per annum depending on experience. 25 days holiday. Personal Pension. Dental and Health Care Plan. Bonus scheme. Job Type: Permanent Background Our client is a fast growing process and engineering consultancy, specialising in industrial utilities and energy reduction projects. Looking to recruit a Mechanical, Chemical or Process Engineer with a knowledge of cooling systems and refrigeration to fill a key role within our clients rapidly expanding energy management team. The successful candidate will be responsible for engineering projects from investigation stage through concept design to built solutions, working with industrial clients. The role reports to the Engineering Project Manager. The particular requirements of the role are as follows: The ability to understand the cooling system and all of its components and how they interact. The ability to gather information from site visits, model and analyse the operation of the system. The ability to identify ways to improve the performance of the system. The ability to create a Heat analytical engineer who can understand systems from first principals rather than a refrigeration plant engineer specialising in just the compressor plant. Candidate requirements  Mechanical / Chemical / Process Engineer  Cooling and Refrigeration Systems You should have a proven track record of working in engineering design or in a manufacturing environment on industrial sites. The job holder will also be highly competent in interpersonal skills, team leadership and technical report writing skills. You must be selfmotivated and able to work independently. In particular experience in a client facing role is important. The role will entail some overseas travel for short periods, generally one week visits. Degree in Mechanical or Chemical Engineering or equivalent Chartered Engineer (or working towards) Current UK driving licence and access to a car Mechanical / Chemical / Process Engineer  Cooling and Refrigeration Systems Fleet in Hampshire Salary from **** to **** per annum depending on experience. 25 days holiday. Personal Pension. Dental and Health Care Plan. Bonus scheme",11
504,"Are you a successful, results driven person? Are you looking to start a career in Financial Services? Are you looking for a fast paced, dynamic working environment? Our Client is proud to be an independent estate agent with an unbeatable local knowledge and reputation for excellent service. They have a mortgage advisor within each of their branches to accommodate their customer s needs. As a Trainee Mortgage Advisor, you will work closely with your team to learn and develop whilst achieving shared goals. In addition to this; You will have the determination to succeed in the Financial Services market. You will be capable of working effectively under pressure and in a target orientated environment. You will have the ability to successfully achieve your CeMap qualifications. You will be able to evaluate business at every opportunity. The company will offer a fantastic training programme as well as full funding for CeMap qualifications all within a supportive, team working environment. Once fully qualified, achievable progression thresholds are put in place with excellent earning potential. With a track record of successful sales abilities, preferably within an Estate Agency setting, suitable candidates will have: A drive and enthusiasm to work within the Financial Services market The ability to qualify applicants to advise on their purchasing abilities Excellent communication skills A professional and friendly approach Refined numerate abilities and an attention to detail A driving licence/own car Excellent computing skills You must be a self motivated, driven individual with the ability to be proactive with your own learning and development. You will have the ability to work successfully within a team whilst managing your own, individual work load. Organisational skills and a will to succeed are also a must. Solihull, Shirley, Sheldon, Castle Bromwich, Erdington, Lichfield, Tamworth, BurtonOnTrent",12
505,"Are you a successful, results driven person? Do you have experience within the Financial Services Market? Are you looking for a fast paced, dynamic working environment? Our client is a multi award winning, National Estate Agency chain with an outstanding reputation for customer service. With a network of over **** branches across the country, the company has risen to become one of the largest and most successful Estate Agency groups in the UK. As a Mortgage Services Consultant, you will work closely with your team to achieve shared goals. In addition to this; You will be fully CeMap qualified. You will have previous advising experience within a Mortgage Services environment. You will have the determination to succeed in the Financial Services market. You will be capable of working effectively under pressure and in a target orientated. environment. You will be able to qualify applicants to advise of their purchasing ability. You will have the ability to advise and sell nonregulated insurance products. The company will offer a fantastic training programme as well as job security and an attractive salary package all within a supportive, team working environment. Achievable progression thresholds are put in place with excellent further earning potential. With a track record of successful sales abilities, suitable candidates will have: A drive and enthusiasm to work within the Financial Services market Excellent communication skills A professional and friendly approach Refined numerate abilities and an attention to detail A driving licence/own car Excellent computing skills You must be a self motivated, driven individual with the ability to be proactive with your own learning and development. You will have the ability to work successfully within a team whilst managing your own, individual work load. Organisational skills and a will to succeed are also a must",22
506,"An amazing vacancy for a Sous Chef has become available in a beautiful privately run Hotel. Known for its fine atmosphere and finer food, this establishment really has it all. Using fresh ingredients and producing lovely meals from an excellent menu, this is a fantastic opportunity. Cooking for staying patrons as well as the public, the restaurant is nice and busy, with returning custom all the time As Sous Chef you would have to be able to work closely with the Head Chef, being second in a brigade of **** deputising in the Head Chefs absence. Are you looking to work in a beautiful English Hotel? Do you have great culinary skills? Do you have a love for cooking and cooking well? This Sous Chef position gives you the chance to cook fine food with a fine group of colleagues, producing some amazing dishes in a fabulous hotel with a clean, well run kitchen. If you are serious about your food, and serious about how you work in a kitchen, then apply today to work in this amazing hotel Sous Chef ****k  tips Ref ****CW Consultant Chris Wilson  / **** **** Want a quick job search without the hassle of registering then paste www.clearselection.co.uk/search.php to your web browser and enjoy the experience. We are always busy and are constantly receiving new instructions from a number of different client＊s nationwide, which makes it good for candidates and us. In the majority of cases we have visited the client＊s establishment and even spent work days with them and have a very enviable reputation for finding the best for the best. If you desire a professional, honest and calm approach with the reassurance that your application will be treated confidentially if requested, we look forward to working on your behalf. Our Consultants love their jobs and its always worth trying to contact them on their mobiles in the evenings or at weekends, if you are to busy during the day. Remember if they do not contact you within **** hours, unfortunately you have not been successful in your application for this position. Clear Selection Recruitment is part of the Clear Selection Group Est. **** This job was originally posted as www.caterer.com/JobSeeking/SousChefforfabulousprivatehotel****_job****",14
507,"A Chef de Partie position is available at a hotel located in County Durham Role: In this particular position of Chef de Partie you will spend your time concentrating on preparing high quality, fresh dishes for the hotel restaurant which is a busy bistro style venue aiming for one AA Rosette.This role of Chef de Partie will require you to focus on the larder and sauce sections ensuring that you are organised, tidy and capable of working to the Head Chefs requirements. Requirements: An experienced Chef de Partie who is used to working in a busy but quality operation with a good knowledge of the larder or sauce sections would be well suited to this role.Knowledge of cooking with all fresh ingredients is essential. Benefits Include: Uniform Provided Meals on Duty Christmas Day. Boxing Day and New Years Day Off Excellent Opportunities To Progress If you are interested in this position or would like information on the other positions we are recruiting for or any temporary assignments please send your CV by clicking on the 'apply now' button below and our consultant Tony Papa will do his utmost to assist you in your search for employment. In line with the requirements of the Asylum Immigration Act **** all applicants must be eligible to live and work in the UK. Documented evidence of the eligibility will be required from candidates as part of the recruitment process. This job was originally posted as www.caterer.com/JobSeeking/ChefdePartieHighVolumeHotelRestaurantAllFreshFood_job****",14
508,"An exciting opportunity for skilled and motivated C++ and Java Software Developers has arisen within a Software and Consultancy services company based in Cambridge. The candidates will join a team of developers to help develop the company s main product that provides agile, highperformance enterprise text mining. Requirements: A Degree or a postgraduate qualification Excellent OOP Skills in Java and / or C++ Commercial experience in software development lifecycle Experience with the following: o Standard libraries and frameworks o Interactive development environments o Software version control o Build systems o Automated testing frameworks o Bug tracking systems Cross Platform Development experience: Linux and Windows Must have some at least some of the following: o Knowledge of some programming languages: C, JavaScript, Python, or Perl o Experience in some or all of the following technologies: Boss, Spring, HSQLDB, SharePoint, XML, Documentum, Lucene, Hadoop, RDF, SPARQL, TFIDF, LSI, Swing, Ajax, REST, Jetty o An understanding of modern development techniques and practices If you would like to take on a new challenge, send in your CV now",15
509,"(Term Time Only) We are seeking to appoint a Gymnastics Head Coach to work in accordance with our Junior Course programme. This individual will compliment our existing team. The post holder must have experience in working with children, have a British Gymnastics Level 2 or above, be fun, outgoing and have excellent customer service skills. We are looking for motivated and conscientious members of staff who can ensure that our Gymnastic courses are of the highest standard and give the customers an excellent service by delivering a quality class week in and week out. We currently require a coach to lead our sessions on a Thursday 4pm  ****:45pm, term time only. Successful applicants will receive notification of an interview within 3 weeks of the closing date. If you have not heard within this timescale you should assume that you have not been successful. All applicants require an enhanced CRB check. All of the above staff will be required to work 39 hours per week including public holidays unless otherwise stated. Hertsmere Leisure is an Equal Opportunities Employer.",14
510,"We are on the lookout for parttime Bar/Waiting staff to join our happy pub crew to help out during busy lunchtimes, evenings and weekends. Previous experience is always helpful but not essential  what's more important is a genuine interest in food and drink, a real desire to making our customers happy and a friendly outgoing personality. We can be quite flexible and can fit around most people's commitments.",14
